Geneid	ERR1755082	ERR1755083	ERR1755084	ERR1755085	ERR1755086	ERR1755087	ERR1755088	ERR1755089	ERR1755090	ERR1755091	ERR1755092	ERR1755093
ENSMUSG00000051951	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	0	0	1	0	0	2	0	0	0	0	0	0
ENSMUSG00000033845	1444	1314	1370	1552	1312	1400	2748	3013	2308	2901	2918	3002
ENSMUSG00000025903	4242	3258	3667	4578	3693	3453	3278	3549	2555	1945	1690	1990
ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	3299	2802	3269	3155	2588	2605	4771	5140	3639	3048	2865	3400
ENSMUSG00000002459	2	4	0	0	5	2	5	14	2	2	1	8
ENSMUSG00000033793	2437	2079	2252	2549	2290	2339	3247	3352	2553	2782	2584	2985
ENSMUSG00000025905	2	12	4	4	0	0	0	1	0	2	0	0
ENSMUSG00000033774	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	7406	5995	7011	7162	5980	5932	6474	5873	5227	4404	4271	4824
ENSMUSG00000087247	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000033740	2	2	0	0	2	0	0	5	2	0	2	2
ENSMUSG00000051285	4435	3623	4325	3141	2520	2581	4642	4599	3697	3189	2973	3363
ENSMUSG00000025909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	1236	1072	1176	1266	1103	986	1571	1831	1293	1761	1575	2023
ENSMUSG00000025911	6	10	6	6	3	4	7	9	10	12	2	7
ENSMUSG00000067879	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	275	204	239	459	345	353	155	184	160	396	317	361
ENSMUSG00000045210	6330	5710	6276	6717	5702	5742	6729	6455	5507	5296	4732	5735
ENSMUSG00000025915	310	376	360	540	445	465	358	339	292	881	772	930
ENSMUSG00000046101	18	23	16	15	18	22	34	25	27	33	24	31
ENSMUSG00000099032	0	0	0	4	4	0	0	0	1	0	1	0
ENSMUSG00000025916	0	0	0	1	0	0	0	2	0	0	0	2
ENSMUSG00000025917	2453	2277	2453	2866	2449	2571	2816	3141	2461	2808	2710	3145
ENSMUSG00000056763	3467	2810	3278	3376	2776	3042	3363	2968	2504	2579	2215	2514
ENSMUSG00000067851	15563	13382	14716	10908	9096	9463	14982	13383	12321	9192	8572	10148
ENSMUSG00000042501	1	4	4	0	0	1	1	1	0	0	0	0
ENSMUSG00000048960	19	8	9	8	10	12	13	10	7	10	7	18
ENSMUSG00000057715	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	0	2	0	0	2	6	4	0	0	4	2	0
ENSMUSG00000025938	22	14	23	63	65	82	8	4	4	135	128	151
ENSMUSG00000042414	0	2	0	0	0	2	5	0	0	4	0	1
ENSMUSG00000005886	13242	13138	13656	12500	10620	11475	13945	11066	10993	9608	8990	10181
ENSMUSG00000025935	10241	9316	9783	11664	9687	9831	11435	12053	9407	11191	10345	11668
ENSMUSG00000025937	1237	1076	1277	1545	1388	1395	1294	1211	974	1303	1212	1402
ENSMUSG00000067813	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000025932	0	6	0	6	10	4	0	0	0	3	3	2
ENSMUSG00000025930	429	436	478	211	238	257	6	11	7	163	185	194
ENSMUSG00000032769	8	8	2	19	2	8	0	0	2	3	0	2
